schedule,od
1317.5,LAX_DTLA
1320.0,LAX_DTLA
1322.22,LAX_DTLA
1324.44,LAX_DTLA
1326.67,LAX_DTLA
1328.89,LAX_DTLA
1331.11,LAX_DTLA
1333.33,LAX_DTLA
1335.56,LAX_DTLA
1337.78,LAX_DTLA
1340.0,LAX_DTLA
1342.22,LAX_DTLA
1344.44,LAX_DTLA
1346.67,LAX_DTLA
1348.89,LAX_DTLA
1351.11,LAX_DTLA
1353.33,LAX_DTLA
1355.56,LAX_DTLA
1357.78,LAX_DTLA
1360.0,LAX_DTLA
1362.22,LAX_DTLA
1364.44,LAX_DTLA
1366.67,LAX_DTLA
1368.89,LAX_DTLA
1371.11,LAX_DTLA
1373.33,LAX_DTLA
1375.56,LAX_DTLA
1377.78,LAX_DTLA
1380.0,LAX_DTLA
1383.33,LAX_DTLA
1386.67,LAX_DTLA
1390.0,LAX_DTLA
1393.33,LAX_DTLA
1396.67,LAX_DTLA
1400.0,LAX_DTLA
1403.33,LAX_DTLA
1406.67,LAX_DTLA
1410.0,LAX_DTLA
1413.33,LAX_DTLA
1416.67,LAX_DTLA
1420.0,LAX_DTLA
1423.33,LAX_DTLA
1426.67,LAX_DTLA
1430.0,LAX_DTLA
1433.33,LAX_DTLA
1436.67,LAX_DTLA
0.0,DTLA_LAX
12.0,DTLA_LAX
24.0,DTLA_LAX
36.0,DTLA_LAX
48.0,DTLA_LAX
60.0,DTLA_LAX
120.0,DTLA_LAX
150.0,DTLA_LAX
180.0,DTLA_LAX
185.45,DTLA_LAX
190.91,DTLA_LAX
196.36,DTLA_LAX
201.82,DTLA_LAX
207.27,DTLA_LAX
212.73,DTLA_LAX
218.18,DTLA_LAX
223.64,DTLA_LAX
229.09,DTLA_LAX
234.55,DTLA_LAX
240.0,DTLA_LAX
243.53,DTLA_LAX
247.06,DTLA_LAX
250.59,DTLA_LAX
254.12,DTLA_LAX
257.65,DTLA_LAX
261.18,DTLA_LAX
264.71,DTLA_LAX
268.24,DTLA_LAX
271.76,DTLA_LAX
275.29,DTLA_LAX
278.82,DTLA_LAX
282.35,DTLA_LAX
285.88,DTLA_LAX
289.41,DTLA_LAX
292.94,DTLA_LAX
296.47,DTLA_LAX
300.0,DTLA_LAX
303.16,DTLA_LAX
306.32,DTLA_LAX
309.47,DTLA_LAX
312.63,DTLA_LAX
315.79,DTLA_LAX
318.95,DTLA_LAX
322.11,DTLA_LAX
325.26,DTLA_LAX
328.42,DTLA_LAX
331.58,DTLA_LAX
334.74,DTLA_LAX
337.89,DTLA_LAX
341.05,DTLA_LAX
344.21,DTLA_LAX
347.37,DTLA_LAX
350.53,DTLA_LAX
353.68,DTLA_LAX
356.84,DTLA_LAX
360.0,DTLA_LAX
362.73,DTLA_LAX
365.45,DTLA_LAX
368.18,DTLA_LAX
370.91,DTLA_LAX
373.64,DTLA_LAX
376.36,DTLA_LAX
379.09,DTLA_LAX
381.82,DTLA_LAX
384.55,DTLA_LAX
387.27,DTLA_LAX
390.0,DTLA_LAX
392.73,DTLA_LAX
395.45,DTLA_LAX
398.18,DTLA_LAX
400.91,DTLA_LAX
403.64,DTLA_LAX
406.36,DTLA_LAX
409.09,DTLA_LAX
411.82,DTLA_LAX
414.55,DTLA_LAX
417.27,DTLA_LAX
420.0,DTLA_LAX
423.16,DTLA_LAX
426.32,DTLA_LAX
429.47,DTLA_LAX
432.63,DTLA_LAX
435.79,DTLA_LAX
438.95,DTLA_LAX
442.11,DTLA_LAX
445.26,DTLA_LAX
448.42,DTLA_LAX
451.58,DTLA_LAX
454.74,DTLA_LAX
457.89,DTLA_LAX
461.05,DTLA_LAX
464.21,DTLA_LAX
467.37,DTLA_LAX
470.53,DTLA_LAX
473.68,DTLA_LAX
476.84,DTLA_LAX
480.0,DTLA_LAX
483.0,DTLA_LAX
486.0,DTLA_LAX
489.0,DTLA_LAX
492.0,DTLA_LAX
495.0,DTLA_LAX
498.0,DTLA_LAX
501.0,DTLA_LAX
504.0,DTLA_LAX
507.0,DTLA_LAX
510.0,DTLA_LAX
513.0,DTLA_LAX
516.0,DTLA_LAX
519.0,DTLA_LAX
522.0,DTLA_LAX
525.0,DTLA_LAX
528.0,DTLA_LAX
531.0,DTLA_LAX
534.0,DTLA_LAX
537.0,DTLA_LAX
540.0,DTLA_LAX
542.73,DTLA_LAX
545.45,DTLA_LAX
548.18,DTLA_LAX
550.91,DTLA_LAX
553.64,DTLA_LAX
556.36,DTLA_LAX
559.09,DTLA_LAX
561.82,DTLA_LAX
564.55,DTLA_LAX
567.27,DTLA_LAX
570.0,DTLA_LAX
572.73,DTLA_LAX
575.45,DTLA_LAX
578.18,DTLA_LAX
580.91,DTLA_LAX
583.64,DTLA_LAX
586.36,DTLA_LAX
589.09,DTLA_LAX
591.82,DTLA_LAX
594.55,DTLA_LAX
597.27,DTLA_LAX
600.0,DTLA_LAX
602.86,DTLA_LAX
605.71,DTLA_LAX
608.57,DTLA_LAX
611.43,DTLA_LAX
614.29,DTLA_LAX
617.14,DTLA_LAX
620.0,DTLA_LAX
622.86,DTLA_LAX
625.71,DTLA_LAX
628.57,DTLA_LAX
631.43,DTLA_LAX
634.29,DTLA_LAX
637.14,DTLA_LAX
640.0,DTLA_LAX
642.86,DTLA_LAX
645.71,DTLA_LAX
648.57,DTLA_LAX
651.43,DTLA_LAX
654.29,DTLA_LAX
657.14,DTLA_LAX
660.0,DTLA_LAX
662.14,DTLA_LAX
664.29,DTLA_LAX
666.43,DTLA_LAX
668.57,DTLA_LAX
670.71,DTLA_LAX
672.86,DTLA_LAX
675.0,DTLA_LAX
677.14,DTLA_LAX
679.29,DTLA_LAX
681.43,DTLA_LAX
683.57,DTLA_LAX
685.71,DTLA_LAX
687.86,DTLA_LAX
690.0,DTLA_LAX
692.14,DTLA_LAX
694.29,DTLA_LAX
696.43,DTLA_LAX
698.57,DTLA_LAX
700.71,DTLA_LAX
702.86,DTLA_LAX
705.0,DTLA_LAX
707.14,DTLA_LAX
709.29,DTLA_LAX
711.43,DTLA_LAX
713.57,DTLA_LAX
715.71,DTLA_LAX
717.86,DTLA_LAX
720.0,DTLA_LAX
723.0,DTLA_LAX
726.0,DTLA_LAX
729.0,DTLA_LAX
732.0,DTLA_LAX
735.0,DTLA_LAX
738.0,DTLA_LAX
741.0,DTLA_LAX
744.0,DTLA_LAX
747.0,DTLA_LAX
750.0,DTLA_LAX
753.0,DTLA_LAX
756.0,DTLA_LAX
759.0,DTLA_LAX
762.0,DTLA_LAX
765.0,DTLA_LAX
768.0,DTLA_LAX
771.0,DTLA_LAX
774.0,DTLA_LAX
777.0,DTLA_LAX
780.0,DTLA_LAX
782.4,DTLA_LAX
784.8,DTLA_LAX
787.2,DTLA_LAX
789.6,DTLA_LAX
792.0,DTLA_LAX
794.4,DTLA_LAX
796.8,DTLA_LAX
799.2,DTLA_LAX
801.6,DTLA_LAX
804.0,DTLA_LAX
806.4,DTLA_LAX
808.8,DTLA_LAX
811.2,DTLA_LAX
813.6,DTLA_LAX
816.0,DTLA_LAX
818.4,DTLA_LAX
820.8,DTLA_LAX
823.2,DTLA_LAX
825.6,DTLA_LAX
828.0,DTLA_LAX
830.4,DTLA_LAX
832.8,DTLA_LAX
835.2,DTLA_LAX
837.6,DTLA_LAX
840.0,DTLA_LAX
843.33,DTLA_LAX
846.67,DTLA_LAX
850.0,DTLA_LAX
853.33,DTLA_LAX
856.67,DTLA_LAX
860.0,DTLA_LAX
863.33,DTLA_LAX
866.67,DTLA_LAX
870.0,DTLA_LAX
873.33,DTLA_LAX
876.67,DTLA_LAX
880.0,DTLA_LAX
883.33,DTLA_LAX
886.67,DTLA_LAX
890.0,DTLA_LAX
893.33,DTLA_LAX
896.67,DTLA_LAX
900.0,DTLA_LAX
903.0,DTLA_LAX
906.0,DTLA_LAX
909.0,DTLA_LAX
912.0,DTLA_LAX
915.0,DTLA_LAX
918.0,DTLA_LAX
921.0,DTLA_LAX
924.0,DTLA_LAX
927.0,DTLA_LAX
930.0,DTLA_LAX
933.0,DTLA_LAX
936.0,DTLA_LAX
939.0,DTLA_LAX
942.0,DTLA_LAX
945.0,DTLA_LAX
948.0,DTLA_LAX
951.0,DTLA_LAX
954.0,DTLA_LAX
957.0,DTLA_LAX
960.0,DTLA_LAX
963.75,DTLA_LAX
967.5,DTLA_LAX
971.25,DTLA_LAX
975.0,DTLA_LAX
978.75,DTLA_LAX
982.5,DTLA_LAX
986.25,DTLA_LAX
990.0,DTLA_LAX
993.75,DTLA_LAX
997.5,DTLA_LAX
1001.25,DTLA_LAX
1005.0,DTLA_LAX
1008.75,DTLA_LAX
1012.5,DTLA_LAX
1016.25,DTLA_LAX
1020.0,DTLA_LAX
1024.0,DTLA_LAX
1028.0,DTLA_LAX
1032.0,DTLA_LAX
1036.0,DTLA_LAX
1040.0,DTLA_LAX
1044.0,DTLA_LAX
1048.0,DTLA_LAX
1052.0,DTLA_LAX
1056.0,DTLA_LAX
1060.0,DTLA_LAX
1064.0,DTLA_LAX
1068.0,DTLA_LAX
1072.0,DTLA_LAX
1076.0,DTLA_LAX
1080.0,DTLA_LAX
1085.45,DTLA_LAX
1090.91,DTLA_LAX
1096.36,DTLA_LAX
1101.82,DTLA_LAX
1107.27,DTLA_LAX
1112.73,DTLA_LAX
1118.18,DTLA_LAX
1123.64,DTLA_LAX
1129.09,DTLA_LAX
1134.55,DTLA_LAX
1140.0,DTLA_LAX
1144.62,DTLA_LAX
1149.23,DTLA_LAX
1153.85,DTLA_LAX
1158.46,DTLA_LAX
1163.08,DTLA_LAX
1167.69,DTLA_LAX
1172.31,DTLA_LAX
1176.92,DTLA_LAX
1181.54,DTLA_LAX
1186.15,DTLA_LAX
1190.77,DTLA_LAX
1195.38,DTLA_LAX
1200.0,DTLA_LAX
1202.73,DTLA_LAX
1205.45,DTLA_LAX
1208.18,DTLA_LAX
1210.91,DTLA_LAX
1213.64,DTLA_LAX
1216.36,DTLA_LAX
1219.09,DTLA_LAX
1221.82,DTLA_LAX
1224.55,DTLA_LAX
1227.27,DTLA_LAX
1230.0,DTLA_LAX
1232.73,DTLA_LAX
1235.45,DTLA_LAX
1238.18,DTLA_LAX
1240.91,DTLA_LAX
1243.64,DTLA_LAX
