origin_vertiport_id,destination_vertiport_id,aircraft_pushback_time,soc,tail_number,aircraft_pushback_datetime
DTLA,LAX,18300,45,,05:05:00
LAX,DTLA,18300,70,,05:05:00
DTLA,LAX,18900,60,,05:15:00
LAX,DTLA,18900,35,,05:15:00
DTLA,LAX,19500,75,,05:25:00
LAX,DTLA,19500,50,,05:25:00
DTLA,LAX,19500,75,,05:25:00
DTLA,LAX,20100,40,,05:35:00
LAX,DTLA,20400,80,,05:40:00
DTLA,LAX,20700,40,,05:45:00
LAX,DTLA,21000,90,,05:50:00
DTLA,LAX,21300,75,,05:55:00
LAX,DTLA,21300,85,,05:55:00
DTLA,LAX,21600,80,,06:00:00
LAX,DTLA,21900,65,,06:05:00
DTLA,LAX,21900,75,,06:05:00
DTLA,LAX,21900,100,,06:05:00
LAX,DTLA,22500,90,,06:15:00
DTLA,LAX,22500,55,,06:15:00
LAX,DTLA,23100,100,,06:25:00
DTLA,LAX,23400,80,,06:30:00
LAX,DTLA,23700,95,,06:35:00
DTLA,LAX,23700,90,,06:35:00
LAX,DTLA,23700,95,,06:35:00
LAX,DTLA,24300,85,,06:45:00
DTLA,LAX,24300,85,,06:45:00
DTLA,LAX,24300,85,,06:45:00
LAX,DTLA,24900,75,,06:55:00
LAX,DTLA,24900,75,,06:55:00
LAX,DTLA,25500,85,,07:05:00
DTLA,LAX,25500,80,,07:05:00
DTLA,LAX,26100,75,,07:15:00
DTLA,LAX,29100,95,,08:05:00
DTLA,LAX,29100,95,,08:05:00
LAX,DTLA,29100,100,,08:05:00
LAX,DTLA,29400,95,,08:10:00
LAX,DTLA,29700,85,,08:15:00
LAX,DTLA,29700,85,,08:15:00
DTLA,LAX,29700,90,,08:15:00
LAX,DTLA,30000,100,,08:20:00
DTLA,LAX,30000,85,,08:20:00
LAX,DTLA,30300,80,,08:25:00
DTLA,LAX,30300,75,,08:25:00
DTLA,LAX,30300,75,,08:25:00
DTLA,LAX,30600,90,,08:30:00
LAX,DTLA,30600,100,,08:30:00
DTLA,LAX,30900,70,,08:35:00
LAX,DTLA,30900,75,,08:35:00
DTLA,LAX,31200,90,,08:40:00
LAX,DTLA,31200,100,,08:40:00
LAX,DTLA,31200,80,,08:40:00
LAX,DTLA,31500,100,,08:45:00
DTLA,LAX,31500,65,,08:45:00
DTLA,LAX,31800,70,,08:50:00
LAX,DTLA,31800,75,,08:50:00
DTLA,LAX,32100,90,,08:55:00
DTLA,LAX,32100,90,,08:55:00
LAX,DTLA,32100,80,,08:55:00
DTLA,LAX,32400,65,,09:00:00
LAX,DTLA,32400,75,,09:00:00
LAX,DTLA,32700,85,,09:05:00
DTLA,LAX,32700,70,,09:05:00
LAX,DTLA,32700,80,,09:05:00
DTLA,LAX,33300,70,,09:15:00
DTLA,LAX,33300,70,,09:15:00
DTLA,LAX,33300,75,,09:15:00
LAX,DTLA,33900,100,,09:25:00
DTLA,LAX,34500,90,,09:35:00
LAX,DTLA,35100,95,,09:45:00
LAX,DTLA,36300,90,,10:05:00
DTLA,LAX,36300,90,,10:05:00
LAX,DTLA,36300,95,,10:05:00
LAX,DTLA,36300,95,,10:05:00
LAX,DTLA,36600,90,,10:10:00
LAX,DTLA,36600,90,,10:10:00
DTLA,LAX,36900,85,,10:15:00
DTLA,LAX,36900,80,,10:15:00
LAX,DTLA,36900,80,,10:15:00
DTLA,LAX,36900,85,,10:15:00
LAX,DTLA,37200,95,,10:20:00
DTLA,LAX,37200,80,,10:20:00
LAX,DTLA,37200,95,,10:20:00
DTLA,LAX,37200,80,,10:20:00
LAX,DTLA,37500,75,,10:25:00
LAX,DTLA,37500,75,,10:25:00
LAX,DTLA,37500,95,,10:25:00
DTLA,LAX,37800,85,,10:30:00
DTLA,LAX,37800,75,,10:30:00
LAX,DTLA,37800,75,,10:30:00
DTLA,LAX,37800,85,,10:30:00
LAX,DTLA,38100,75,,10:35:00
LAX,DTLA,38100,75,,10:35:00
DTLA,LAX,38100,85,,10:35:00
DTLA,LAX,38400,65,,10:40:00
LAX,DTLA,38400,75,,10:40:00
LAX,DTLA,38400,75,,10:40:00
LAX,DTLA,38700,75,,10:45:00
DTLA,LAX,38700,65,,10:45:00
DTLA,LAX,38700,75,,10:45:00
DTLA,LAX,38700,75,,10:45:00
LAX,DTLA,39000,55,,10:50:00
LAX,DTLA,39000,75,,10:50:00
DTLA,LAX,39300,75,,10:55:00
LAX,DTLA,39300,65,,10:55:00
LAX,DTLA,39300,65,,10:55:00
DTLA,LAX,39300,65,,10:55:00
DTLA,LAX,39300,70,,10:55:00
DTLA,LAX,39300,70,,10:55:00
LAX,DTLA,39600,60,,11:00:00
DTLA,LAX,39600,65,,11:00:00
LAX,DTLA,39900,60,,11:05:00
LAX,DTLA,39900,60,,11:05:00
DTLA,LAX,39900,55,,11:05:00
DTLA,LAX,39900,55,,11:05:00
LAX,DTLA,39900,55,,11:05:00
DTLA,LAX,40200,50,,11:10:00
LAX,DTLA,40200,70,,11:10:00
LAX,DTLA,40200,55,,11:10:00
LAX,DTLA,40500,45,,11:15:00
DTLA,LAX,40500,45,,11:15:00
DTLA,LAX,40500,60,,11:15:00
LAX,DTLA,40800,40,,11:20:00
DTLA,LAX,40800,45,,11:20:00
DTLA,LAX,40800,60,,11:20:00
LAX,DTLA,40800,50,,11:20:00
LAX,DTLA,41100,50,,11:25:00
LAX,DTLA,41100,35,,11:25:00
DTLA,LAX,41100,60,,11:25:00
DTLA,LAX,41100,60,,11:25:00
DTLA,LAX,41400,30,,11:30:00
DTLA,LAX,41400,40,,11:30:00
LAX,DTLA,41400,35,,11:30:00
DTLA,LAX,41400,40,,11:30:00
LAX,DTLA,41400,50,,11:30:00
LAX,DTLA,41700,50,,11:35:00
LAX,DTLA,41700,50,,11:35:00
DTLA,LAX,41700,40,,11:35:00
DTLA,LAX,42000,40,,11:40:00
LAX,DTLA,42000,30,,11:40:00
LAX,DTLA,42000,30,,11:40:00
LAX,DTLA,42300,30,,11:45:00
DTLA,LAX,42300,40,,11:45:00
DTLA,LAX,42300,40,,11:45:00
LAX,DTLA,42600,30,,11:50:00
DTLA,LAX,42600,40,,11:50:00
LAX,DTLA,42600,30,,11:50:00
DTLA,LAX,42900,40,,11:55:00
LAX,DTLA,42900,30,,11:55:00
LAX,DTLA,42900,30,,11:55:00
LAX,DTLA,43200,30,,12:00:00
DTLA,LAX,43500,30,,12:05:00
DTLA,LAX,43500,30,,12:05:00
LAX,DTLA,43500,30,,12:05:00
DTLA,LAX,43500,30,,12:05:00
DTLA,LAX,44700,40,,12:25:00
DTLA,LAX,44700,40,,12:25:00
DTLA,LAX,45300,30,,12:35:00
LAX,DTLA,45300,30,,12:35:00
LAX,DTLA,45600,40,,12:40:00
LAX,DTLA,45600,40,,12:40:00
LAX,DTLA,45600,40,,12:40:00
DTLA,LAX,46200,35,,12:50:00
LAX,DTLA,46500,40,,12:55:00
LAX,DTLA,47100,30,,13:05:00
DTLA,LAX,47100,65,,13:05:00
LAX,DTLA,48300,60,,13:25:00
LAX,DTLA,48600,55,,13:30:00
DTLA,LAX,48600,65,,13:30:00
DTLA,LAX,48900,70,,13:35:00
DTLA,LAX,48900,70,,13:35:00
DTLA,LAX,48900,70,,13:35:00
DTLA,LAX,49200,45,,13:40:00
DTLA,LAX,49500,45,,13:45:00
LAX,DTLA,49500,60,,13:45:00
LAX,DTLA,49500,60,,13:45:00
LAX,DTLA,49500,60,,13:45:00
LAX,DTLA,49500,60,,13:45:00
DTLA,LAX,49800,90,,13:50:00
LAX,DTLA,49800,35,,13:50:00
DTLA,LAX,50100,50,,13:55:00
DTLA,LAX,50100,50,,13:55:00
DTLA,LAX,50100,50,,13:55:00
DTLA,LAX,50100,50,,13:55:00
LAX,DTLA,50700,40,,14:05:00
LAX,DTLA,50700,40,,14:05:00
DTLA,LAX,50700,60,,14:05:00
LAX,DTLA,51000,80,,14:10:00
LAX,DTLA,51300,50,,14:15:00
DTLA,LAX,51900,40,,14:25:00
DTLA,LAX,51900,70,,14:25:00
LAX,DTLA,51900,40,,14:25:00
LAX,DTLA,51900,40,,14:25:00
DTLA,LAX,52200,90,,14:30:00
DTLA,LAX,52200,30,,14:30:00
DTLA,LAX,52200,30,,14:30:00
LAX,DTLA,52500,75,,14:35:00
DTLA,LAX,52500,50,,14:35:00
LAX,DTLA,52500,30,,14:35:00
LAX,DTLA,53100,40,,14:45:00
LAX,DTLA,53700,60,,14:55:00
DTLA,LAX,54000,35,,15:00:00
DTLA,LAX,54300,50,,15:05:00
LAX,DTLA,54300,45,,15:05:00
LAX,DTLA,54300,45,,15:05:00
DTLA,LAX,54900,70,,15:15:00
LAX,DTLA,54900,40,,15:15:00
LAX,DTLA,55500,60,,15:25:00
LAX,DTLA,56100,50,,15:35:00
LAX,DTLA,56700,95,,15:45:00
DTLA,LAX,56700,85,,15:45:00
DTLA,LAX,56700,85,,15:45:00
DTLA,LAX,57000,55,,15:50:00
DTLA,LAX,57300,70,,15:55:00
LAX,DTLA,57300,75,,15:55:00
DTLA,LAX,57900,75,,16:05:00
DTLA,LAX,57900,75,,16:05:00
LAX,DTLA,57900,60,,16:05:00
LAX,DTLA,58500,50,,16:15:00
DTLA,LAX,58500,50,,16:15:00
DTLA,LAX,58800,75,,16:20:00
LAX,DTLA,59100,40,,16:25:00
DTLA,LAX,59400,75,,16:30:00
DTLA,LAX,59400,85,,16:30:00
DTLA,LAX,59700,30,,16:35:00
LAX,DTLA,59700,80,,16:35:00
LAX,DTLA,59700,80,,16:35:00
DTLA,LAX,60000,85,,16:40:00
LAX,DTLA,60000,65,,16:40:00
LAX,DTLA,60000,75,,16:40:00
LAX,DTLA,60300,95,,16:45:00
DTLA,LAX,60300,70,,16:45:00
DTLA,LAX,60300,70,,16:45:00
DTLA,LAX,60600,55,,16:50:00
DTLA,LAX,60600,65,,16:50:00
DTLA,LAX,60600,65,,16:50:00
DTLA,LAX,60900,85,,16:55:00
LAX,DTLA,60900,75,,16:55:00
LAX,DTLA,61200,55,,17:00:00
LAX,DTLA,61500,85,,17:05:00
DTLA,LAX,61500,65,,17:05:00
