origin_vertiport_id,destination_vertiport_id,aircraft_pushback_time,soc,tail_number,aircraft_pushback_datetime
LAX,DTLA,27600,80.0,,07:40:00
DTLA,LAX,27600,95.0,,07:40:00
DTLA,LAX,27600,65.0,,07:40:00
LAX,DTLA,27900,37.5,,07:45:00
DTLA,LAX,27900,80.0,,07:45:00
LAX,DTLA,27900,60.0,,07:45:00
LAX,DTLA,28200,87.5,,07:50:00
DTLA,LAX,28200,87.5,,07:50:00
DTLA,LAX,28200,70.0,,07:50:00
LAX,DTLA,28500,70.0,,07:55:00
LAX,DTLA,28500,62.5,,07:55:00
DTLA,LAX,28500,52.5,,07:55:00
DTLA,LAX,28500,50.0,,07:55:00
DTLA,LAX,28800,52.5,,08:00:00
LAX,DTLA,28800,72.5,,08:00:00
LAX,DTLA,28800,62.5,,08:00:00
LAX,DTLA,29100,82.5,,08:05:00
LAX,DTLA,29100,45.0,,08:05:00
DTLA,LAX,29100,50.0,,08:05:00
LAX,DTLA,29100,42.5,,08:05:00
DTLA,LAX,29400,62.5,,08:10:00
DTLA,LAX,29400,62.5,,08:10:00
LAX,DTLA,29700,42.5,,08:15:00
DTLA,LAX,29700,35.0,,08:15:00
LAX,DTLA,30000,55.0,,08:20:00
LAX,DTLA,30000,55.0,,08:20:00
DTLA,LAX,30000,75.0,,08:20:00
DTLA,LAX,30000,45.0,,08:20:00
LAX,DTLA,30000,85.0,,08:20:00
DTLA,LAX,30300,95.0,,08:25:00
DTLA,LAX,30600,75.0,,08:30:00
DTLA,LAX,30600,90.0,,08:30:00
LAX,DTLA,30600,67.5,,08:30:00
LAX,DTLA,30600,37.5,,08:30:00
DTLA,LAX,30600,75.0,,08:30:00
DTLA,LAX,30900,45.0,,08:35:00
LAX,DTLA,30900,80.0,,08:35:00
DTLA,LAX,31200,57.5,,08:40:00
DTLA,LAX,31200,52.5,,08:40:00
LAX,DTLA,31200,47.5,,08:40:00
LAX,DTLA,31200,67.5,,08:40:00
DTLA,LAX,31500,70.0,,08:45:00
DTLA,LAX,31500,60.0,,08:45:00
LAX,DTLA,31500,90.0,,08:45:00
DTLA,LAX,31800,57.5,,08:50:00
DTLA,LAX,31800,37.5,,08:50:00
LAX,DTLA,31800,47.5,,08:50:00
LAX,DTLA,31800,50.0,,08:50:00
LAX,DTLA,32100,52.5,,08:55:00
DTLA,LAX,32100,80.0,,08:55:00
LAX,DTLA,32400,30.0,,09:00:00
LAX,DTLA,32400,67.5,,09:00:00
LAX,DTLA,32400,95.0,,09:00:00
DTLA,LAX,32400,37.5,,09:00:00
LAX,DTLA,32700,72.5,,09:05:00
DTLA,LAX,32700,42.5,,09:05:00
LAX,DTLA,32700,87.5,,09:05:00
LAX,DTLA,33000,95.0,,09:10:00
DTLA,LAX,33000,57.5,,09:10:00
DTLA,LAX,33000,57.5,,09:10:00
LAX,DTLA,33000,65.0,,09:10:00
DTLA,LAX,33000,90.0,,09:10:00
DTLA,LAX,33300,77.5,,09:15:00
LAX,DTLA,33300,35.0,,09:15:00
LAX,DTLA,33600,50.0,,09:20:00
DTLA,LAX,33600,37.5,,09:20:00
LAX,DTLA,33600,50.0,,09:20:00
DTLA,LAX,33900,85.0,,09:25:00
DTLA,LAX,33900,85.0,,09:25:00
LAX,DTLA,33900,45.0,,09:25:00
DTLA,LAX,33900,75.0,,09:25:00
LAX,DTLA,33900,70.0,,09:25:00
LAX,DTLA,33900,82.5,,09:25:00
DTLA,LAX,34200,27.5,,09:30:00
LAX,DTLA,34200,30.0,,09:30:00
DTLA,LAX,34200,90.0,,09:30:00
DTLA,LAX,34500,35.0,,09:35:00
DTLA,LAX,34500,72.5,,09:35:00
LAX,DTLA,34500,77.5,,09:35:00
LAX,DTLA,34500,77.5,,09:35:00
DTLA,LAX,34500,75.0,,09:35:00
DTLA,LAX,34800,55.0,,09:40:00
DTLA,LAX,34800,55.0,,09:40:00
DTLA,LAX,34800,65.0,,09:40:00
LAX,DTLA,34800,67.5,,09:40:00
DTLA,LAX,35100,67.5,,09:45:00
DTLA,LAX,35100,67.5,,09:45:00
LAX,DTLA,35100,85.0,,09:45:00
LAX,DTLA,35100,67.5,,09:45:00
LAX,DTLA,35100,30.0,,09:45:00
DTLA,LAX,35400,32.5,,09:50:00
DTLA,LAX,35400,57.5,,09:50:00
LAX,DTLA,35400,57.5,,09:50:00
LAX,DTLA,35400,47.5,,09:50:00
LAX,DTLA,35400,47.5,,09:50:00
LAX,DTLA,35700,72.5,,09:55:00
LAX,DTLA,35700,60.0,,09:55:00
DTLA,LAX,35700,75.0,,09:55:00
LAX,DTLA,36000,60.0,,10:00:00
