vertiport_id,init_soc,target_soc,charging_start_time,process,location,charging_start_time_datetime
DTLA,25.0,30.0,41100,CHARGING,,11:25:00
DTLA,20.0,25.0,41100,CHARGING,,11:25:00
DTLA,22.5,32.5,41100,CHARGING,,11:25:00
DTLA,32.5,35.0,41700,CHARGING,,11:35:00
DTLA,27.5,35.0,41700,CHARGING,,11:35:00
LAX,20.0,22.5,42000,CHARGING,,11:40:00
LAX,25.0,30.0,42000,CHARGING,,11:40:00
LAX,22.5,27.5,42300,CHARGING,,11:45:00
LAX,25.0,40.0,42300,CHARGING,,11:45:00
LAX,20.0,32.5,42600,CHARGING,,11:50:00
DTLA,30.0,35.0,42600,CHARGING,,11:50:00
LAX,32.5,40.0,42600,CHARGING,,11:50:00
LAX,22.5,35.0,42900,CHARGING,,11:55:00
LAX,20.0,27.5,42900,CHARGING,,11:55:00
DTLA,25.0,37.5,42900,CHARGING,,11:55:00
LAX,20.0,35.0,42900,CHARGING,,11:55:00
DTLA,22.5,47.5,43200,CHARGING,,12:00:00
LAX,32.5,35.0,43200,CHARGING,,12:00:00
LAX,22.5,42.5,43500,CHARGING,,12:05:00
LAX,27.5,37.5,43500,CHARGING,,12:05:00
LAX,30.0,35.0,43500,CHARGING,,12:05:00
LAX,20.0,50.0,43800,CHARGING,,12:10:00
DTLA,35.0,42.5,43800,CHARGING,,12:10:00
DTLA,35.0,45.0,43800,CHARGING,,12:10:00
LAX,20.0,22.5,44100,CHARGING,,12:15:00
LAX,22.5,27.5,44400,CHARGING,,12:20:00
LAX,20.0,37.5,44400,CHARGING,,12:20:00
DTLA,30.0,40.0,44700,CHARGING,,12:25:00
LAX,42.5,50.0,44700,CHARGING,,12:25:00
LAX,25.0,35.0,44700,CHARGING,,12:25:00
LAX,25.0,35.0,44700,CHARGING,,12:25:00
DTLA,27.5,50.0,45000,CHARGING,,12:30:00
DTLA,32.5,37.5,45000,CHARGING,,12:30:00
LAX,25.0,47.5,45000,CHARGING,,12:30:00
LAX,40.0,42.5,45300,CHARGING,,12:35:00
DTLA,32.5,37.5,45600,CHARGING,,12:40:00
DTLA,22.5,25.0,45600,CHARGING,,12:40:00
LAX,35.0,37.5,45900,CHARGING,,12:45:00
DTLA,30.0,35.0,45900,CHARGING,,12:45:00
DTLA,37.5,50.0,46200,CHARGING,,12:50:00
LAX,32.5,40.0,46500,CHARGING,,12:55:00
LAX,20.0,27.5,46500,CHARGING,,12:55:00
DTLA,30.0,40.0,46500,CHARGING,,12:55:00
LAX,30.0,45.0,46800,CHARGING,,13:00:00
DTLA,27.5,30.0,47400,CHARGING,,13:10:00
